Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
BBC News Full,DeleteRandomWordsNoise,RandomForest,0.8697247706422019,0.869937942247412,0.8744671450588875,0.8697247706422019
BBC News Full,DeleteRandomWordsNoise,SVM,0.9064220183486239,0.9065973490418184,0.9115966963357687,0.9064220183486239
BBC News Full,DeleteRandomWordsNoise,XGBoost,0.7238532110091743,0.7260894076911905,0.7327939408626039,0.7238532110091743
BBC News Full,DeleteRandomWordsNoise,XGBoostRoberta,0.7009174311926606,0.7069397614754523,0.7772387593532775,0.7009174311926606
BBC News Full,NoNoise,LightGBM,0.5807339449541284,0.5760138692877813,0.5888576770634556,0.5807339449541284
BBC News Full,NoNoise,LightGBMRoberta,0.8944954128440367,0.8943910828041756,0.8958044758468657,0.8944954128440367
BBC News Full,NoNoise,RandomForest,0.8972477064220183,0.8977316305431514,0.900096540912508,0.8972477064220183
BBC News Full,NoNoise,SVM,0.9100917431192661,0.9104397882790819,0.9146560905164828,0.9100917431192661
BBC News Full,NoNoise,XGBoost,0.7440366972477064,0.7451170071886389,0.7507851836091995,0.7440366972477064
BBC News Full,NoNoise,XGBoostRoberta,0.8458715596330275,0.8464148684111861,0.849814733422581,0.8458715596330275
BBC News Full,ReplaceWithAntonymsNoise,LightGBM,0.5761467889908257,0.5715242958355304,0.5853389549513001,0.5761467889908257
BBC News Full,ReplaceWithAntonymsNoise,LightGBMRoberta,0.8385321100917431,0.8398487830929388,0.8629563550813584,0.8385321100917431
BBC News Full,ReplaceWithAntonymsNoise,RandomForest,0.8926605504587156,0.8932073480773691,0.8957926892535764,0.8926605504587156
BBC News Full,ReplaceWithAntonymsNoise,SVM,0.9119266055045872,0.9122208320489111,0.9165642610417061,0.9119266055045872
BBC News Full,ReplaceWithAntonymsNoise,XGBoost,0.7431192660550459,0.7441611067071394,0.7501238204939206,0.7431192660550459
BBC News Full,ReplaceWithAntonymsNoise,XGBoostRoberta,0.7743119266055046,0.7797178957916333,0.8087721330935724,0.7743119266055046
BBC News Full,ReplaceWithSynonymsNoise,LightGBM,0.581651376146789,0.5774345212090953,0.5980292943715262,0.581651376146789
BBC News Full,ReplaceWithSynonymsNoise,LightGBMRoberta,0.8128440366972477,0.814975186468083,0.8487824932734835,0.8128440366972477
BBC News Full,ReplaceWithSynonymsNoise,RandomForest,0.8798165137614679,0.8802318669675456,0.8827055656687265,0.8798165137614679
BBC News Full,ReplaceWithSynonymsNoise,SVM,0.908256880733945,0.9085757305734583,0.913178678061374,0.908256880733945
BBC News Full,ReplaceWithSynonymsNoise,XGBoost,0.7357798165137615,0.7370147495018363,0.7429964359544742,0.7357798165137615
BBC News Full,ReplaceWithSynonymsNoise,XGBoostRoberta,0.7688073394495413,0.7755695340185297,0.8050201477489498,0.7688073394495413
BBC News Full,ShuffleSentencesNoise,LightGBM,0.5807339449541284,0.5760138692877813,0.5888576770634556,0.5807339449541284
BBC News Full,ShuffleSentencesNoise,LightGBMRoberta,0.8990825688073395,0.8988316543505742,0.9003731371150003,0.8990825688073395
BBC News Full,ShuffleSentencesNoise,RandomForest,0.8972477064220183,0.8977316305431514,0.900096540912508,0.8972477064220183
BBC News Full,ShuffleSentencesNoise,SVM,0.9100917431192661,0.9104397882790819,0.9146560905164828,0.9100917431192661
BBC News Full,ShuffleSentencesNoise,XGBoost,0.7440366972477064,0.7451170071886389,0.7507851836091995,0.7440366972477064
BBC News Full,ShuffleSentencesNoise,XGBoostRoberta,0.8321100917431192,0.8319332137984645,0.8366852537752708,0.8321100917431192
